title,stars,text
Five Stars,5,Love this movie!
Five Stars,5,EXCELLEN MOVIE
Five Stars,5,favorite
Watch this!,5,"I love this movie for the fun, non-political movie that it is. It's simple, plain and fun. No hidden agendas or stories."
Five Stars,5,Great movie really funny
Five Stars,5,Vote for Pedro and all your wildest dreams will come true.
Four Stars,4,"Funny, silly movie."
I don't know why I bought this on blu ray ...,5,I don't know why I bought this on blu ray..the movie is barely DVD quality..but there's something about Rico throwing that football in stunning in HD that makes me get all hot and bothered.
Five Stars,5,Great film!
Five Stars,5,Brilliant
Five Stars,5,Cult classic!
Five Stars,5,funny
One Star,1,Yuck!
Classic stupid funny!,5,Best movie! Had to own for my collection.
Five Stars,5,One of the funniest movies ever. I can watch it over and over.
Four Stars,4,I really liked it
Five Stars,5,I give it the most stars ever
Napoleon Dynamite,5,One of my favorite movies EVER.  I have let my young five year old grandson watch it and he loved it too.
Four Stars,4,Hilarious
Great movie to remember awkward times,5,Funniest movie ever made.  I saw it years ago and re-watched it with my 10 year old daughter.  She did not quite get the humor but I laughed loudly and often.
Fun,5,"Neat movie, can be watched over and over."
Five Stars,5,One of my favorite top 10!!!
Five Stars,5,We love it!
You are gonna love it or hate it,4,"There is a love/hate relationship with this movie at my house.  I am not a big fan, however everyone else loves it.  I had to take one star off because I walk away when someone puts this movie on.  That being said, I do appreciate that the movie was originally written and performed by students and then picked up by a major studio and redone, with some if not all of the same actors.  I do like Jon Heder, though some of his films are really stupid.  If you are into mind numbing comedy, this is one for you.  I know it is now a cult classic, so you should probably watch it whether you want to or not."
